seed,sim_gens,min_K,max_K,period,init_K,init_dec,init_corin,init_ednrb,init_opt,final_opt,fitness_width,lambda,replicate
4159594647110,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,14
4794175900089,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,15
1998706063442,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,16
3871713317293,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,17
4183514732349,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,18
7794712821621,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,19
4961635408297,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,2
4564115967083,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,20
4549295850060,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,21
4298485184113,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,22
2019496181528,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,23
2040466287353,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,24
4040314177941,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,25
7809092971939,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,26
7747232413161,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,27
7755882480740,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,28
3811642930632,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,29
4334245323714,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,3
4278195100125,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,30
3867273282781,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,4
4343335359846,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,5
4161324653031,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,6
4307765217417,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,7
7960804221488,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,8
3875683338313,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,15,9
7790872786719,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,1
8178095319923,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,10
4012664073867,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,11
1960165857875,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,12
3944643751402,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,13
7996204402321,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,14
3867213281771,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,15
3673212138878,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,16
4786655834182,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,17
7983944346911,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,18
1931905704557,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,19
4844054052882,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,2
7733562291696,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,20
3883183394355,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,21
3948843772704,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,22
3777712736074,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,23
3727072445750,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,24
4325415291518,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,25
4389495555374,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,26
4860996354616,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,27
2043276306699,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,28
4981905617249,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,29
4845514078543,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,3
3973573892838,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,30
4793945898810,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,4
4001014029963,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,5
4873684407533,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,6
3926273656946,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,7
8085294857804,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,8
4546855827069,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.6562,4,9
8082864838652,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,1
3752052576103,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,10
4598516247538,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,11
4120594489371,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,12
4816106044175,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,13
4370125471775,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,14
8114725007818,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,15
4292515161898,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,16
4883434514980,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,17
4976685558680,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,18
4045804193518,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,19
4849506283155,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,2
8127055073597,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,20
4922914964947,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,21
1994086039734,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,22
4948065262827,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,23
4961725408407,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,24
3769182681477,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,25
4867734339165,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,26
3983593944193,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,27
3995394003531,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,28
4063644266332,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,29
2034406258116,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,3
4800375936741,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,30
4108054439806,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,4
2618736296494,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,5
8208155480767,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,6
2008276117035,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,7
3784312772967,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,8
4129844526208,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,15,9
4055704227484,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,1
4844706248488,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,10
3752062576102,80,500,5000,9,2750,F,0.01,0.05,0.13,0.876,0.7805,4,11
