seed,sim_gens,init_corin,init_ednrb,init_opt,final_opt,fitness_width,lambda,replicate
3527646027466,80,0,0,0.13,0.876,0.7805,4,3
4290304693269,80,0,0,0.13,0.876,0.7805,4,30
4314684937579,80,0,0,0.13,0.876,0.7805,4,4
2955444565205,80,0,0,0.13,0.876,0.7805,4,5
1655564618549,80,0,0,0.13,0.876,0.7805,4,6
3544816136445,80,0,0,0.13,0.876,0.7805,4,7
7114974636986,80,0,0,0.13,0.876,0.7805,4,8
7207015154870,80,0,0,0.13,0.876,0.7805,4,9
3004754739552,80,0,0.01,0.13,0.876,0.5446,15,1
3571876248257,80,0,0.01,0.13,0.876,0.5446,15,10
2965994597471,80,0,0.01,0.13,0.876,0.5446,15,11
3191705367513,80,0,0.01,0.13,0.876,0.5446,15,12
7176484976546,80,0,0.01,0.13,0.876,0.5446,15,13
4857285682791,80,0,0.01,0.13,0.876,0.5446,15,14
4368605400874,80,0,0.01,0.13,0.876,0.5446,15,15
7077334508425,80,0,0.01,0.13,0.876,0.5446,15,16
7226955238771,80,0,0.01,0.13,0.876,0.5446,15,17
3086635038635,80,0,0.01,0.13,0.876,0.5446,15,18
2920994469401,80,0,0.01,0.13,0.876,0.5446,15,19
3535276090742,80,0,0.01,0.13,0.876,0.5446,15,2
7212895183810,80,0,0.01,0.13,0.876,0.5446,15,20
4351735289635,80,0,0.01,0.13,0.876,0.5446,15,21
3054904911055,80,0,0.01,0.13,0.876,0.5446,15,22
3436225415736,80,0,0.01,0.13,0.876,0.5446,15,23
3055544911701,80,0,0.01,0.13,0.876,0.5446,15,24
3050514893797,80,0,0.01,0.13,0.876,0.5446,15,25
7234145265007,80,0,0.01,0.13,0.876,0.5446,15,26
3586326306153,80,0,0.01,0.13,0.876,0.5446,15,27
4862286358718,80,0,0.01,0.13,0.876,0.5446,15,28
7154034881882,80,0,0.01,0.13,0.876,0.5446,15,29
3585096301826,80,0,0.01,0.13,0.876,0.5446,15,3
4275684574948,80,0,0.01,0.13,0.876,0.5446,15,30
7132564751742,80,0,0.01,0.13,0.876,0.5446,15,4
2994904701335,80,0,0.01,0.13,0.876,0.5446,15,5
7074374501351,80,0,0.01,0.13,0.876,0.5446,15,6
7672666339544,80,0,0.01,0.13,0.876,0.5446,15,7
2924944485718,80,0,0.01,0.13,0.876,0.5446,15,8
1684615322566,80,0,0.01,0.13,0.876,0.5446,15,9
2256095408622,80,0,0.01,0.13,0.876,0.5446,4,1
1651654575791,80,0,0.01,0.13,0.876,0.5446,4,10
7649796194799,80,0,0.01,0.13,0.876,0.5446,4,11
7137324787344,80,0,0.01,0.13,0.876,0.5446,4,12
4338545182939,80,0,0.01,0.13,0.876,0.5446,4,13
7126704713142,80,0,0.01,0.13,0.876,0.5446,4,14
7132544751633,80,0,0.01,0.13,0.876,0.5446,4,15
1802156319736,80,0,0.01,0.13,0.876,0.5446,4,16
7167514933798,80,0,0.01,0.13,0.876,0.5446,4,17
1677445142909,80,0,0.01,0.13,0.876,0.5446,4,18
3604686378326,80,0,0.01,0.13,0.876,0.5446,4,19
2978074635542,80,0,0.01,0.13,0.876,0.5446,4,2
3074394980280,80,0,0.01,0.13,0.876,0.5446,4,20
4308564880516,80,0,0.01,0.13,0.876,0.5446,4,21
4349565268334,80,0,0.01,0.13,0.876,0.5446,4,22
3009484757408,80,0,0.01,0.13,0.876,0.5446,4,23
3156015249395,80,0,0.01,0.13,0.876,0.5446,4,24
3159005263573,80,0,0.01,0.13,0.876,0.5446,4,25
3049294892021,80,0,0.01,0.13,0.876,0.5446,4,26
7083324532530,80,0,0.01,0.13,0.876,0.5446,4,27
3558576194156,80,0,0.01,0.13,0.876,0.5446,4,28
4350875288557,80,0,0.01,0.13,0.876,0.5446,4,29
7084854534535,80,0,0.01,0.13,0.876,0.5446,4,3
3572316249150,80,0,0.01,0.13,0.876,0.5446,4,30
1688715400048,80,0,0.01,0.13,0.876,0.5446,4,4
1782725709658,80,0,0.01,0.13,0.876,0.5446,4,5
7673316343093,80,0,0.01,0.13,0.876,0.5446,4,6
2933124504740,80,0,0.01,0.13,0.876,0.5446,4,7
7674526351620,80,0,0.01,0.13,0.876,0.5446,4,8
7145044832236,80,0,0.01,0.13,0.876,0.5446,4,9
7201065118940,80,0,0.01,0.13,0.876,0.6562,15,1
2961564582598,80,0,0.01,0.13,0.876,0.6562,15,10
7665166288256,80,0,0.01,0.13,0.876,0.6562,15,11
7189095055205,80,0,0.01,0.13,0.876,0.6562,15,12
4359115340196,80,0,0.01,0.13,0.876,0.6562,15,13
7056564472031,80,0,0.01,0.13,0.876,0.6562,15,14
3113995100513,80,0,0.01,0.13,0.876,0.6562,15,15
3542806125502,80,0,0.01,0.13,0.876,0.6562,15,16
3044614877511,80,0,0.01,0.13,0.876,0.6562,15,17
4363575373818,80,0,0.01,0.13,0.876,0.6562,15,18
4305315723910,80,0,0.01,0.13,0.876,0.6562,15,19
1649554528309,80,0,0.01,0.13,0.876,0.6562,15,2
3033414838509,80,0,0.01,0.13,0.876,0.6562,15,20
3063824936043,80,0,0.01,0.13,0.876,0.6562,15,21
7227825242104,80,0,0.01,0.13,0.876,0.6562,15,22
4325505084345,80,0,0.01,0.13,0.876,0.6562,15,23
3165675283453,80,0,0.01,0.13,0.876,0.6562,15,24
4347895255623,80,0,0.01,0.13,0.876,0.6562,15,25
3060104927067,80,0,0.01,0.13,0.876,0.6562,15,26
7107954614384,80,0,0.01,0.13,0.876,0.6562,15,27
3579826286074,80,0,0.01,0.13,0.876,0.6562,15,28
7224905226883,80,0,0.01,0.13,0.876,0.6562,15,29
2972054617231,80,0,0.01,0.13,0.876,0.6562,15,3
3562626208363,80,0,0.01,0.13,0.876,0.6562,15,30
1676125111752,80,0,0.01,0.13,0.876,0.6562,15,4
7682186375590,80,0,0.01,0.13,0.876,0.6562,15,5
4752796058236,80,0,0.01,0.13,0.876,0.6562,15,6
2983524654358,80,0,0.01,0.13,0.876,0.6562,15,7
3520625957186,80,0,0.01,0.13,0.876,0.6562,15,8
3078124997810,80,0,0.01,0.13,0.876,0.6562,15,9
1675585087856,80,0,0.01,0.13,0.876,0.6562,4,1
3561216204536,80,0,0.01,0.13,0.876,0.6562,4,10
2950144548916,80,0,0.01,0.13,0.876,0.6562,4,11
4332545158511,80,0,0.01,0.13,0.876,0.6562,4,12
4303374838921,80,0,0.01,0.13,0.876,0.6562,4,13
7681196373845,80,0,0.01,0.13,0.876,0.6562,4,14
7198955111380,80,0,0.01,0.13,0.876,0.6562,4,15
2979064640288,80,0,0.01,0.13,0.876,0.6562,4,16
3167785291376,80,0,0.01,0.13,0.876,0.6562,4,17
3019184798860,80,0,0.01,0.13,0.876,0.6562,4,18
2995804703903,80,0,0.01,0.13,0.876,0.6562,4,19
3589546320472,80,0,0.01,0.13,0.876,0.6562,4,2
4358905339397,80,0,0.01,0.13,0.876,0.6562,4,20
3151565232866,80,0,0.01,0.13,0.876,0.6562,4,21
4312864917073,80,0,0.01,0.13,0.876,0.6562,4,22
3114425103033,80,0,0.01,0.13,0.876,0.6562,4,23
7158214896651,80,0,0.01,0.13,0.876,0.6562,4,24
3060044926396,80,0,0.01,0.13,0.876,0.6562,4,25
3158625261859,80,0,0.01,0.13,0.876,0.6562,4,26
3550786159229,80,0,0.01,0.13,0.876,0.6562,4,27
2948854546111,80,0,0.01,0.13,0.876,0.6562,4,28
3064984940051,80,0,0.01,0.13,0.876,0.6562,4,29
3548956155525,80,0,0.01,0.13,0.876,0.6562,4,3
2961174581321,80,0,0.01,0.13,0.876,0.6562,4,30
3114435103035,80,0,0.01,0.13,0.876,0.6562,4,4
2919254467562,80,0,0.01,0.13,0.876,0.6562,4,5
4285714649404,80,0,0.01,0.13,0.876,0.6562,4,6
3529906047469,80,0,0.01,0.13,0.876,0.6562,4,7
2990764678336,80,0,0.01,0.13,0.876,0.6562,4,8
3142105195790,80,0,0.01,0.13,0.876,0.6562,4,9
7241925306054,80,0,0.01,0.13,0.876,0.7805,15,1
2929084496556,80,0,0.01,0.13,0.876,0.7805,15,10
3531596055328,80,0,0.01,0.13,0.876,0.7805,15,11
7155594889024,80,0,0.01,0.13,0.876,0.7805,15,12
4329565136462,80,0,0.01,0.13,0.876,0.7805,15,13
2980254642866,80,0,0.01,0.13,0.876,0.7805,15,14
