seed,sim_gens,init_corin,init_opt,final_opt,fitness_width,lambda,replicate
4207144825297,80,0.01,0.13,0.876,0.6562,15,26
4955295331474,80,0.01,0.13,0.876,0.6562,15,27
8176285308628,80,0.01,0.13,0.876,0.6562,15,28
4896244661027,80,0.01,0.13,0.876,0.6562,15,29
7739882340863,80,0.01,0.13,0.876,0.6562,15,3
7715402099140,80,0.01,0.13,0.876,0.6562,15,30
8099214937411,80,0.01,0.13,0.876,0.6562,15,4
3768592678210,80,0.01,0.13,0.876,0.6562,15,5
3813252937779,80,0.01,0.13,0.876,0.6562,15,6
3677262164469,80,0.01,0.13,0.876,0.6562,15,7
8228645581044,80,0.01,0.13,0.876,0.6562,15,8
8085854860885,80,0.01,0.13,0.876,0.6562,15,9
4171084687799,80,0.01,0.13,0.876,0.6562,4,1
3710412347373,80,0.01,0.13,0.876,0.6562,4,10
2050806346846,80,0.01,0.13,0.876,0.6562,4,11
8034314606664,80,0.01,0.13,0.876,0.6562,4,12
4806155965705,80,0.01,0.13,0.876,0.6562,4,13
4409115629433,80,0.01,0.13,0.876,0.6562,4,14
8099114936161,80,0.01,0.13,0.876,0.6562,4,15
4932685082022,80,0.01,0.13,0.876,0.6562,4,16
4888754579221,80,0.01,0.13,0.876,0.6562,4,17
4528115692513,80,0.01,0.13,0.876,0.6562,4,18
4082124336797,80,0.01,0.13,0.876,0.6562,4,19
2021276190265,80,0.01,0.13,0.876,0.6562,4,2
4942985198312,80,0.01,0.13,0.876,0.6562,4,20
8089914883140,80,0.01,0.13,0.876,0.6562,4,21
1977345952856,80,0.01,0.13,0.876,0.6562,4,22
8193555392553,80,0.01,0.13,0.876,0.6562,4,23
4948875266866,80,0.01,0.13,0.876,0.6562,4,24
3738782506047,80,0.01,0.13,0.876,0.6562,4,25
4854004188096,80,0.01,0.13,0.876,0.6562,4,26
1882414114294,80,0.01,0.13,0.876,0.6562,4,27
4035444159895,80,0.01,0.13,0.876,0.6562,4,28
4874774409572,80,0.01,0.13,0.876,0.6562,4,29
4859836343264,80,0.01,0.13,0.876,0.6562,4,3
4819106068419,80,0.01,0.13,0.876,0.6562,4,30
4141424570019,80,0.01,0.13,0.876,0.6562,4,4
2962306521910,80,0.01,0.13,0.876,0.6562,4,5
4407475623529,80,0.01,0.13,0.876,0.6562,4,6
4565795980342,80,0.01,0.13,0.876,0.6562,4,7
4816783023525,80,0.01,0.13,0.876,0.6562,4,8
4146164588905,80,0.01,0.13,0.876,0.6562,4,9
3834413071227,80,0.01,0.13,0.876,0.7805,15,1
4970165468973,80,0.01,0.13,0.876,0.7805,15,10
3988793972007,80,0.01,0.13,0.876,0.7805,15,11
1937695735948,80,0.01,0.13,0.876,0.7805,15,12
3965043853876,80,0.01,0.13,0.876,0.7805,15,13
7970594277276,80,0.01,0.13,0.876,0.7805,15,14
3891243448100,80,0.01,0.13,0.876,0.7805,15,15
3696092259915,80,0.01,0.13,0.876,0.7805,15,16
1939675751008,80,0.01,0.13,0.876,0.7805,15,17
