"catalognumber","decimallatitude","decimallongitude"
"17227882",51.077181045,-114.1315619276
"17212866",51.07615422,-114.1304262635
"17204550",51.2930233229,-114.0353517607
"17159749",51.0749955132,-114.1353493589
"17159309",51.0800914051,-114.1296504635
"17159330",51.07816,-114.135801
"17139401",51.07816,-114.135801
"17116638",51.0756593184,-114.1343884376
"17116620",51.075688635,-114.1343232685
"17116412",51.0724121123,-114.1314359127
"17085377",51.0786055,-114.1249471667
"17079331",37.5286266988,-118.1942103387
"17069267",51.0750158,-114.1343026
"17052279",51.07816,-114.135801
"17045014",51.1559902433,-114.0399748849
"17043565",51.0797233582,-114.1322250366
"17034135",51.0233335764,-114.0089718715
"17011667",51.0772388333,-114.1240778333
"17007174",51.07816,-114.135801
"16983397",50.4329516667,-104.5900983333
"16983317",51.0760186699,-114.1252814279
"300692",37.744055,-105.525483
"16980550",51.07816,-114.135801
"16956898",51.0789222717,-114.1308059692
"16947350",51.0911238799,-114.1621301416
"16946249",51.1715175866,-114.0985286092
"16945941",51.07816,-114.135801
"16944840",51.1357240953,-114.1948556186
"16929395",51.0764677031,-114.1305397545
"16921855",51.122698263,-114.1375435889
"16920056",51.0793247167,-114.130182853
"16912021",51.076359409,-114.1341409554
"16901022",51.0750378,-114.1342634
"16891368",51.07816,-114.135801
"16888136",51.0801083333,-114.1304945
"16886475",51.1254002032,-114.1384029016
"16883703",51.0753175072,-114.1360112406
"16883418",51.079980876,-114.1299736643
"16879503",51.0783192656,-114.1323297099
"16870706",51.07816,-114.135801
"16858534",51.0747402826,-114.1314956773
"16784007",51.0766361667,-114.1280361667
"16773088",51.0932032889,-114.1411807744
"1543277",51.05011,-114.08529
"14140822",37.5791696,-106.1480842
"12179254",46.8389205933,-96.860496521
"8845136",51.0812335546,-114.151400551
"8811480",51.0861994391,-114.1357988119
"16755916",51.0801231185,-114.1303395107
"16751814",51.0763321259,-114.1296883208
"16737668",51.1051715867,-114.1588332877
"16737111",51.0852508545,-114.1404495239
"16708294",51.0185305,-114.218605
"16704968",51.0773855119,-114.130727202
"16702973",51.0851777778,-114.1400222222
"16692222",51.0836775997,-114.1397651285
"16691963",51.0851251363,-114.1404990479
"16692008",51.0853416667,-114.1403277778
"16678866",51.1081251057,-114.0588434601
"16666089",51.0853416667,-114.1403277778
"16645304",51.0748702707,-114.1317723535
"16644664",51.0212188494,-114.1087348201
"16603734",51.1401778333,-114.1737966667
"16594011",50.9700093,-114.086095
"16551424",51.0746846,-114.1343054
"16535025",51.1713460459,-114.1854876512
"16525601",51.1337487048,-114.0930376947
"16518245",51.0767909093,-114.131125901
"16506007",51.0772102034,-114.1316615045
"16471140",51.0737102605,-114.1311261447
"16468589",51.0272973713,-114.1050169988
"16459955",53.5207964505,-113.6042515503
"16459570",53.5212646604,-113.6042421832
"16439468",51.0733457136,-114.1313607348
"16353907",51.0418138889,-114.0797277778
"15479161",52.1321372802,-106.6331899649
"15405645",37.5270794787,-118.1980645718
"15098573",53.5357713694,-113.4783689561
"15098544",53.5805992836,-113.3728012993
"15069759",49.166422915,-107.519325626
"15064145",52.1367543865,-106.6331291199
"14374012",52.126975008,-106.633935459
"14431780",49.1177133333,-100.9446516667
"14191431",41.1590488695,-111.0801203098
"9882395",50.43865325,-104.61450125
"13902043",45.201535,-112.1585116667
"13850418",50.7260333333,-113.9652416667
"12871571",40.6843596073,-104.3584871281
"13220260",48.8468689538,-95.3383081168
"12946782",40.6360160085,-111.3178096502
"12691772",49.802696228,-97.1428375244
"12232177",46.8402723134,-96.8609438847
"12177834",46.8390666667,-96.8605633333
"12165299",50.4749984741,-104.6433334351
"11879032",39.255,-103.272
"9357068",44.977831541,-110.6995953619
"11149574",46.8268194444,-100.7375638889
"9236686",50.463725,-104.6091388889
"9097418",51.07816,-114.135801
"9084181",51.1270916667,-113.9313966667
"9084165",51.1270833333,-113.9308383333
"9077684",51.0816682856,-114.1496366635
"9024215",51.0784945,-114.1328138333
"9024231",51.0783388333,-114.1328055
"9021802",50.9528907729,-114.091679079
"8932950",50.9861934879,-114.1041380167
"9720783",50.9151645,-113.9828345
"9383613",51.088311448,-114.2411339859
"8799656",51.105875,-114.065563
"8799238",51.1102634,-114.0617259
"10616083",50.0733193692,-103.1581878662
"10600291",40.6694415875,-106.3215637207
"10599949",40.884675056,-104.3794298172
"10426867",50.9151645,-113.9828345
"9973385",50.43613607,-104.6338963509
"8455197",51.02815961,-114.0970942
"10296348",50.9700093,-114.086095
"9882397",50.4386333333,-104.6143116667
"4040901",47.747461,-107.772132
"6176915",44.9706654259,-110.7036774606
"7513389",38.5149112,-119.4768329
"BOM-225",41.798574,-106.5097469
"BOM-222",41.798574,-106.5097469
"BOM-224",41.798574,-106.5097469
"BOM-221",41.798574,-106.5097469
"BOM-223",41.798574,-106.5097469
"BOM-185",41.223,-111.97383
"BOM-186",41.223,-111.97383
"BOM-183",41.139981,-104.820246
"CMNMA 8161",49.216667,-110
"CMNMA 8270",49.233333,-107.733333
"CMNMA 9646",49,-119.466667
"CMNMA 8157",49.216667,-110
"CMNMA 4479",49.516667,-108.816667
"CMNMA 3423",50.433333,-100.583333
"CMNMA 8162",49.216667,-110
"CMNMA 303",50.533333,-103.666667
"CMNMA 9608",49,-119.466667
"CMNMA 9647",49,-119.466667
"CMNMA 3422",50.433333,-100.583333
"CMNMA 3947",51.083333,-105.233333
"CMNMA 8170",49.216667,-110
"CMNMA 8369",49.15,-104.85
"CMNMA 43464",49.183333,-106.7
"CMNMA 52399",51.05,-102.166667
"CMNMA 9119",49.133333,-119.583333
"CMNMA 9114",49.133333,-119.583333
"CMNMA 3421",50.433333,-100.583333
"9286540",50.4731649,-104.6688256
"9146616",47.6480434356,-111.2997436523
"9097519",51.07816,-114.135801
"9097468",51.07816,-114.135801
"9092071",51.0781456,-114.1251362
"9088815",51.1282725322,-113.9325283043
