"catalognumber","decimallatitude","decimallongitude","roundlat","roundlon"
"17375583",51.0771503672,-114.1321139597,51.07715,-114.13211
"16724571",51.0795097351,-114.1304702759,51.07951,-114.13047
"17937307",51.0774349701,-114.1254219895,51.07743,-114.12542
"17934279",50.173652,-97.138827,50.17365,-97.13883
"17931531",51.0847268,-114.1394795,51.08473,-114.13948
"17912197",51.134994637,-114.1949507776,51.13499,-114.19495
"17905622",40.7129819341,-104.1175743526,40.71298,-104.11757
"17891761",51.1464858064,-114.107805588,51.14649,-114.10781
"17889693",51.0214415147,-114.1088551005,51.02144,-114.10886
"17812582",51.054681862,-114.0749065185,51.05468,-114.07491
"17804680",51.0596447822,-114.1208441556,51.05964,-114.12084
"17796651",50.895586,-114.04444,50.89559,-114.04444
"17746513",51.1114614954,-114.1436549001,51.11146,-114.14365
"17712617",51.0617511716,-114.0652371719,51.06175,-114.06524
"17693028",51.0212189332,-114.1087038071,51.02122,-114.1087
"17658471",51.0212231242,-114.1087315512,51.02122,-114.10873
"17623225",51.1028067607,-114.0580331065,51.10281,-114.05803
"17332326",51.0744256062,-114.12427973,51.07443,-114.12428
"17220600",51.1353988066,-114.1952169408,51.1354,-114.19522
"17220330",51.0796603,-114.1276806,51.07966,-114.12768
"17639271",46.8377571954,-100.7698573941,46.83776,-100.76986
"17582684",51.0577781465,-114.1190340741,51.05778,-114.11903
"17581421",51.0748882345,-114.1315298779,51.07489,-114.13153
"17578688",51.0772094727,-114.1313858032,51.07721,-114.13139
"17547211",51.0610073837,-114.0674688088,51.06101,-114.06747
"17545821",52.1190708504,-106.6266561715,52.11907,-106.62666
"17436591",51.056371479,-114.1196877882,51.05637,-114.11969
"17405427",51.0678631608,-114.1188532859,51.06786,-114.11885
"17337264",51.022498083,-114.107093811,51.0225,-114.10709
"17332359",51.0523210966,-114.1214429587,51.05232,-114.12144
"17332253",51.0557843546,-114.1198785603,51.05578,-114.11988
"17281122",51.0794271435,-114.132150323,51.07943,-114.13215
"17281009",51.0780423349,-114.128451778,51.07804,-114.12845
"17280757",51.0809393454,-114.1309526363,51.08094,-114.13095
