iteration,K,pop_size,desired_h2,p_corin,p_ednrb,Va,Ve,Vp,obs_h2
1,2750,2750,0.64,0.703273,0.576182,6.14296,3.45542,9.59074,0.64051
1,2750,2750,0.64,0.703273,0.576182,6.3724,3.58447,9.95549,0.640089
1,2750,2750,0.64,0.703273,0.576182,6.377,3.58706,9.9789,0.639048
1,2750,2750,0.64,0.703273,0.576182,6.21688,3.49699,9.8871,0.628786
1,2750,2750,0.64,0.703273,0.576182,6.32785,3.55942,10.0306,0.630852
1,2750,2750,0.64,0.703273,0.576182,6.46212,3.63494,10.0135,0.645341
1,2750,2750,0.64,0.703273,0.576182,6.42774,3.6156,9.93208,0.647169
1,2750,2750,0.64,0.703273,0.576182,6.54435,3.6812,10.3518,0.632196
1,2750,2750,0.64,0.703273,0.576182,6.41139,3.60641,10.2514,0.625418
1,2750,2750,0.64,0.703273,0.576182,6.12364,3.44455,9.38008,0.652834
1,2750,2750,0.64,0.703273,0.576182,6.212,3.49425,9.96226,0.623553
1,2750,2750,0.64,0.703273,0.576182,6.35287,3.57349,9.87854,0.643098
1,2750,2750,0.64,0.703273,0.576182,6.36228,3.57878,9.72397,0.654288
1,2750,2750,0.64,0.703273,0.576182,6.34152,3.5671,9.79377,0.647505
1,2750,2750,0.64,0.703273,0.576182,6.44589,3.62581,10.1076,0.637724
1,2750,2750,0.64,0.703273,0.576182,6.35212,3.57307,10.0761,0.630417
1,2750,2750,0.64,0.703273,0.576182,6.52462,3.6701,10.2915,0.633984
1,2750,2750,0.64,0.703273,0.576182,6.21426,3.49552,9.69549,0.640943
1,2750,2750,0.64,0.703273,0.576182,6.5733,3.69748,10.4121,0.631315
1,2750,2750,0.64,0.703273,0.576182,6.08775,3.42436,9.48357,0.641926
1,2750,2750,0.64,0.703273,0.576182,6.30551,3.54685,9.77944,0.644773
1,2750,2750,0.64,0.703273,0.576182,6.40892,3.60502,9.84263,0.651139
1,2750,2750,0.64,0.703273,0.576182,6.53424,3.67551,10.0785,0.648334
1,2750,2750,0.64,0.703273,0.576182,6.21804,3.49765,9.9944,0.622153
1,2750,2750,0.64,0.703273,0.576182,6.43495,3.61966,10.1626,0.633199
1,2750,2750,0.64,0.703273,0.576182,6.45614,3.63158,9.89545,0.652435
1,2750,2750,0.64,0.703273,0.576182,6.41153,3.60648,10.1611,0.630989
1,2750,2750,0.64,0.703273,0.576182,6.315,3.55219,9.87436,0.639535
1,2750,2750,0.64,0.703273,0.576182,6.3453,3.56923,10.0061,0.634146
1,2750,2750,0.64,0.703273,0.576182,6.47065,3.63974,10.2162,0.633373
1,2750,2750,0.64,0.703273,0.576182,6.32304,3.55671,9.99159,0.632836
1,2750,2750,0.64,0.703273,0.576182,6.5271,3.67149,10.1298,0.644347
1,2750,2750,0.64,0.703273,0.576182,6.30626,3.54727,9.95582,0.633424
1,2750,2750,0.64,0.703273,0.576182,6.56304,3.69171,10.5101,0.624449
1,2750,2750,0.64,0.703273,0.576182,6.48357,3.64701,10.2926,0.629923
1,2750,2750,0.64,0.703273,0.576182,6.24563,3.51316,9.75664,0.640141
1,2750,2750,0.64,0.703273,0.576182,6.29657,3.54182,9.94165,0.633352
1,2750,2750,0.64,0.703273,0.576182,6.54695,3.68266,10.2939,0.636001
