gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
1677295769	StillImage	image/jpeg	https://static.inaturalist.org/photos/11161174/original.jpg?1507932680	https://www.inaturalist.org/photos/11161174					2017-10-13T15:21:34Z	sswiley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	sswiley
1677294283	StillImage	image/jpeg	https://static.inaturalist.org/photos/11151259/original.jpg?1507903097	https://www.inaturalist.org/photos/11151259					2017-10-13T13:32:30Z	austin_ash		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	austin_ash
1677289832	StillImage	image/jpeg	https://static.inaturalist.org/photos/11127137/original.jpg?1507782974	https://www.inaturalist.org/photos/11127137					2017-10-11T16:30:11Z	Kristina van Westenbrugge		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kristina van Westenbrugge
1677289762	StillImage	image/jpeg	https://static.inaturalist.org/photos/11127176/original.jpg?1507783085	https://www.inaturalist.org/photos/11127176					2017-10-11T16:39:09Z	Kristina van Westenbrugge		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kristina van Westenbrugge
1677289762	StillImage	image/jpeg	https://static.inaturalist.org/photos/11127180/original.jpg?1507783095	https://www.inaturalist.org/photos/11127180					2017-10-11T16:39:19Z	Kristina van Westenbrugge		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kristina van Westenbrugge
1677289709	StillImage	image/jpeg	https://static.inaturalist.org/photos/11127116/original.jpg?1507782896	https://www.inaturalist.org/photos/11127116					2017-10-11T16:27:30Z	Kristina van Westenbrugge		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kristina van Westenbrugge
1677289476	StillImage	image/jpeg	https://static.inaturalist.org/photos/11127289/original.jpg?1507783521	https://www.inaturalist.org/photos/11127289					2017-10-11T16:22:52Z	Kristina van Westenbrugge		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kristina van Westenbrugge
1677289476	StillImage	image/jpeg	https://static.inaturalist.org/photos/11127291/original.jpg?1507783534	https://www.inaturalist.org/photos/11127291					2017-10-11T16:22:50Z	Kristina van Westenbrugge		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kristina van Westenbrugge
1677289454	StillImage	image/jpeg	https://static.inaturalist.org/photos/11127279/original.jpg?1507783464	https://www.inaturalist.org/photos/11127279					2017-10-11T16:17:50Z	Kristina van Westenbrugge		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kristina van Westenbrugge
1677287391	StillImage	image/jpeg	https://static.inaturalist.org/photos/11113597/original.jpg?1507745778	https://www.inaturalist.org/photos/11113597					2017-10-11T09:32:04Z	Kristina van Westenbrugge		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kristina van Westenbrugge
1677287370	StillImage	image/jpeg	https://static.inaturalist.org/photos/11113532/original.jpg?1507745630	https://www.inaturalist.org/photos/11113532					2017-10-11T09:29:08Z	Kristina van Westenbrugge		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kristina van Westenbrugge
1677287095	StillImage	image/jpeg	https://static.inaturalist.org/photos/11112275/original.jpg?1507742101	https://www.inaturalist.org/photos/11112275					2017-10-11T00:22:42Z	angelaleung		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	angelaleung
1677287045	StillImage	image/jpeg	https://static.inaturalist.org/photos/11112220/original.jpg?1507741922	https://www.inaturalist.org/photos/11112220					2017-10-11T00:18:14Z	angelaleung		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	angelaleung
1677286676	StillImage	image/jpeg	https://static.inaturalist.org/photos/11108588/original.jpg?1507730895	https://www.inaturalist.org/photos/11108588					2017-10-10T16:57:01Z	Kristina van Westenbrugge		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kristina van Westenbrugge
1677286653	StillImage	image/jpeg	https://static.inaturalist.org/photos/11108557/original.jpg?1507730801	https://www.inaturalist.org/photos/11108557					2017-10-10T11:08:53Z	Kristina van Westenbrugge		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kristina van Westenbrugge
1677286368	StillImage	image/jpeg	https://static.inaturalist.org/photos/11108601/original.jpg?1507730954	https://www.inaturalist.org/photos/11108601					2017-10-10T17:02:03Z	Kristina van Westenbrugge		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kristina van Westenbrugge
1677286368	StillImage	image/jpeg	https://static.inaturalist.org/photos/11108596/original.jpg?1507730931	https://www.inaturalist.org/photos/11108596					2017-10-10T17:02:00Z	Kristina van Westenbrugge		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Kristina van Westenbrugge
